index	0	1	2	3	4	5	6
38	 9.360	 nan	 nan	 nan	 nan	 nan	 nan
39	 9.589	 nan	 nan	 nan	 nan	 nan	 nan
40	 nan	 9.093	 4.521	 nan	 nan	 nan	 nan
41	 nan	 9.593	 4.258	 nan	 nan	 nan	 nan
42	 nan	 9.426	 4.051	 nan	 nan	 nan	 nan
43	 nan	 9.773	 5.094	 nan	 nan	 nan	 nan
44	 nan	 9.997	 5.093	 nan	 nan	 nan	 nan
45	 nan	 9.466	 5.267	 nan	 nan	 nan	 nan
46	 nan	 9.789	 4.614	 nan	 nan	 nan	 nan
47	 nan	 9.901	 4.921	 nan	 nan	 nan	 nan
48	 nan	 10.544	 5.517	 nan	 nan	 nan	 nan
49	 nan	 10.106	 5.801	 nan	 nan	 nan	 nan
50	 nan	 10.348	 4.680	 nan	 nan	 nan	 nan
51	 nan	 10.465	 4.543	 nan	 nan	 nan	 nan
52	 nan	 10.036	 4.774	 nan	 nan	 nan	 nan
53	 nan	 10.679	 4.780	 nan	 nan	 nan	 nan
54	 nan	 10.405	 4.265	 nan	 nan	 nan	 nan
55	 nan	 9.992	 5.034	 nan	 nan	 nan	 nan
56	 nan	 10.117	 5.333	 nan	 nan	 nan	 nan
57	 nan	 10.193	 nan	 8.497	 7.465	 nan	 nan
58	 nan	 9.380	 nan	 8.835	 7.513	 nan	 nan
59	 nan	 8.706	 nan	 8.549	 6.866	 nan	 nan
60	 nan	 8.582	 nan	 7.941	 6.948	 nan	 nan
61	 nan	 8.060	 nan	 8.363	 7.197	 nan	 nan
62	 nan	 8.349	 nan	 8.279	 7.253	 nan	 nan
63	 nan	 9.582	 nan	 8.588	 7.137	 nan	 nan
64	 nan	 9.246	 nan	 8.885	 7.232	 nan	 nan
65	 nan	 8.370	 nan	 8.692	 7.169	 nan	 nan
66	 nan	 9.287	 nan	 9.003	 6.934	 nan	 nan
67	 nan	 8.762	 nan	 8.631	 7.478	 nan	 nan
68	 nan	 8.946	 nan	 8.275	 6.747	 nan	 nan
69	 nan	 9.548	 nan	 8.126	 7.096	 nan	 nan
70	 nan	 9.306	 nan	 8.221	 7.862	 nan	 nan
71	 nan	 8.346	 nan	 8.729	 6.712	 nan	 nan
72	 nan	 9.198	 nan	 7.999	 7.001	 nan	 nan
73	 nan	 9.107	 nan	 7.963	 6.993	 nan	 nan
74	 nan	 8.893	 nan	 8.104	 6.571	 nan	 nan
75	 nan	 8.357	 nan	 8.905	 7.064	 nan	 nan
76	 nan	 8.369	 nan	 8.911	 7.165	 nan	 nan
77	 nan	 8.929	 nan	 8.357	 7.207	 nan	 nan
78	 nan	 9.382	 nan	 8.542	 7.398	 nan	 nan
79	 nan	 9.463	 nan	 8.428	 6.860	 nan	 nan
80	 nan	 9.697	 nan	 8.249	 6.942	 nan	 nan
81	 nan	 9.397	 nan	 8.126	 6.915	 nan	 nan
82	 nan	 9.343	 nan	 8.522	 nan	 8.115	 9.090
83	 nan	 8.070	 nan	 8.680	 nan	 8.704	 9.836
84	 nan	 9.042	 nan	 8.664	 nan	 8.199	 9.298
85	 nan	 8.833	 nan	 8.755	 nan	 8.920	 9.571
86	 nan	 8.348	 nan	 8.354	 nan	 8.007	 9.509
87	 nan	 8.370	 nan	 7.714	 nan	 8.780	 9.611
88	 nan	 9.306	 nan	 7.637	 nan	 8.332	 9.716
89	 nan	 8.961	 nan	 8.137	 nan	 8.632	 9.693
90	 nan	 9.704	 nan	 8.364	 nan	 7.027	 9.910
91	 nan	 9.690	 nan	 7.715	 nan	 7.978	 9.486
92	 nan	 9.895	 nan	 8.840	 nan	 7.902	 9.826
93	 nan	 9.107	 nan	 8.539	 nan	 8.565	 9.475
94	 nan	 9.645	 nan	 8.794	 nan	 8.049	 9.222
95	 nan	 9.447	 nan	 8.785	 nan	 7.885	 9.463
96	 nan	 10.461	 nan	 8.731	 nan	 8.057	 9.647
97	 nan	 10.150	 nan	 8.897	 nan	 7.757	 8.798
98	 nan	 9.444	 nan	 8.680	 nan	 7.331	 8.378
99	 nan	 9.641	 nan	 8.635	 nan	 7.317	 8.845
100	 nan	 9.777	 nan	 8.888	 nan	 6.831	 8.498
101	 nan	 10.295	 nan	 8.753	 nan	 7.998	 7.949
102	 nan	 9.727	 nan	 8.582	 nan	 7.407	 8.199
103	 nan	 8.818	 nan	 8.501	 nan	 7.948	 7.477
104	 nan	 9.301	 nan	 8.430	 nan	 8.439	 7.920
105	 nan	 8.661	 nan	 8.917	 nan	 7.901	 7.977
106	 nan	 8.478	 nan	 9.013	 nan	 8.933	 7.423
107	 nan	 8.447	 nan	 9.112	 nan	 8.172	 8.165
108	 nan	 7.930	 nan	 9.356	 nan	 7.993	 9.062
109	 nan	 8.385	 nan	 9.255	 nan	 7.781	 8.877
110	 nan	 7.851	 nan	 8.140	 nan	 8.058	 8.837
111	 nan	 7.712	 nan	 8.448	 nan	 8.199	 8.681
112	 nan	 8.001	 nan	 9.032	 nan	 7.496	 8.553
113	 nan	 8.193	 nan	 9.259	 nan	 7.187	 9.045
114	 nan	 8.116	 nan	 8.998	 nan	 7.492	 7.933
115	 nan	 8.385	 nan	 8.942	 nan	 7.158	 8.220
116	 nan	 8.381	 nan	 8.768	 nan	 8.081	 8.678
117	 nan	 8.989	 nan	 8.894	 nan	 7.505	 9.244
118	 nan	 10.455	 nan	 8.527	 nan	 8.418	 8.126
119	 nan	 9.554	 nan	 8.029	 nan	 8.103	 7.895
120	 nan	 9.096	 nan	 7.887	 nan	 7.478	 8.445
121	 nan	 9.460	 nan	 8.246	 nan	 7.868	 8.390
122	 nan	 9.916	 nan	 7.960	 nan	 7.260	 7.901
123	 nan	 9.450	 nan	 9.361	 nan	 7.203	 8.919
124	 nan	 10.497	 nan	 8.112	 nan	 7.037	 8.345
125	 nan	 10.032	 nan	 8.427	 nan	 7.287	 8.879
126	 nan	 10.081	 nan	 8.604	 nan	 7.053	 8.867
127	 nan	 9.893	 nan	 7.897	 nan	 6.702	 8.399
128	 nan	 10.740	 nan	 8.529	 nan	 6.970	 8.830
129	 nan	 10.346	 nan	 8.883	 nan	 7.396	 8.791
130	 nan	 nan	 nan	 8.874	 nan	 7.779	 9.190
131	 nan	 nan	 nan	 7.856	 nan	 8.138	 9.271
132	 nan	 nan	 nan	 9.193	 nan	 8.631	 9.481
133	 nan	 nan	 nan	 7.600	 nan	 8.614	 9.686
134	 nan	 nan	 nan	 8.238	 nan	 8.051	 8.131
135	 nan	 nan	 nan	 9.032	 nan	 8.207	 8.710
136	 nan	 nan	 nan	 8.729	 nan	 8.789	 8.880
137	 nan	 nan	 nan	 8.964	 nan	 8.306	 8.666
138	 nan	 nan	 nan	 7.927	 nan	 9.202	 8.829
139	 nan	 nan	 nan	 8.288	 nan	 8.978	 9.024
140	 nan	 nan	 nan	 8.095	 nan	 9.140	 9.128
141	 nan	 nan	 nan	 7.457	 nan	 9.239	 7.612
142	 nan	 nan	 nan	 7.117	 nan	 9.138	 7.420
143	 nan	 nan	 nan	 nan	 nan	 8.983	 7.521
144	 nan	 nan	 nan	 nan	 nan	 8.909	 7.191
145	 nan	 nan	 nan	 nan	 nan	 nan	 7.216
146	 nan	 nan	 nan	 nan	 nan	 nan	 7.593
147	 nan	 nan	 nan	 nan	 nan	 nan	 6.876
148	 nan	 nan	 nan	 nan	 nan	 nan	 7.500
149	 nan	 nan	 nan	 nan	 nan	 nan	 6.898
150	 nan	 nan	 nan	 nan	 nan	 nan	 7.571
151	 nan	 nan	 nan	 nan	 nan	 nan	 7.622
152	 nan	 nan	 nan	 nan	 nan	 nan	 7.682
153	 nan	 nan	 nan	 nan	 nan	 nan	 6.574
154	 nan	 nan	 nan	 nan	 nan	 nan	 7.386
155	 nan	 nan	 nan	 nan	 nan	 nan	 7.748
156	 nan	 nan	 nan	 nan	 nan	 nan	 8.161
157	 nan	 nan	 nan	 nan	 nan	 nan	 7.540
158	 nan	 nan	 nan	 nan	 nan	 nan	 7.552
159	 nan	 nan	 nan	 nan	 nan	 nan	 7.443
160	 nan	 nan	 nan	 nan	 nan	 nan	 7.912
161	 nan	 nan	 nan	 nan	 nan	 nan	 8.016
162	 nan	 nan	 nan	 nan	 nan	 nan	 7.202
163	 nan	 nan	 nan	 nan	 nan	 nan	 7.789
164	 nan	 nan	 nan	 nan	 nan	 nan	 7.694
165	 nan	 nan	 nan	 nan	 nan	 nan	 6.943
166	 nan	 nan	 nan	 nan	 nan	 nan	 7.191
167	 nan	 nan	 nan	 nan	 nan	 nan	 7.423
168	 nan	 nan	 nan	 nan	 nan	 nan	 8.625
169	 nan	 nan	 nan	 nan	 nan	 nan	 8.453
170	 nan	 nan	 nan	 nan	 nan	 nan	 8.631
171	 nan	 nan	 nan	 nan	 nan	 nan	 8.434
